quantity,unit,conversion_factor,all_names
Length,متر,1.0,"['متر', 'm']"
Length,سانتی‌متر,100.0,"['سانتی\u200cمتر', 'cm']"
Length,اینچ,39.37007874015748,"['اینچ', 'inch']"
Length,میلی‌متر,1000.0,"['میلی\u200cمتر', 'mm']"
Length,فوت,3.2808398950131235,"['فوت', 'پا', 'فیت', 'foot', 'feet']"
Length,کیلو‌متر,0.001,"['کیلو\u200cمتر', 'km']"
Length,مایل,0.0006213711922373339,"['مایل', 'mile']"
Length,یارد,1.0936132983377078,"['یارد', 'yard']"
Length,مایل دریایی,0.0005399568034557236,"['مایل دریایی', 'nautical mile']"
Length,دسی‌متر,10.0,"['دسی\u200cمتر', 'dm']"
Length,میکرو‌ن,1000000.0,"['میکرو\u200cن', 'micron']"
Length,میکرو‌متر,1000000.0,"['میکرو\u200cمتر', 'μm']"
Length,نانو‌متر,1000000000.0,"['نانو\u200cمتر', 'nm']"
Length,آنگستروم,10000000000.0,"['آنگستروم', 'Angstrom']"
Length,پیکو‌متر,1000000000000.0,"['پیکو\u200cمتر', 'pm']"
Length,فمتو‌متر,1000000000000000.0,['فمتو\u200cمتر']
Length,ذرع,0.9615384615384616,['ذرع']
Length,گز,0.9615384615384616,['گز']
Length,وجب,4.444444444444445,['وجب']
Length,فرسنگ,0.00016025641025641026,"['فرسنگ', 'فرسخ']"
Length,فرسنگ شرعی,0.00018634466308884915,"['فرسنگ شرعی', 'فرسخ شرعی']"
Length,فاتوم,0.5468066491688539,"['فاتوم', 'ftm']"
Length,زنجیر,0.049709695378986715,"['زنجیر', 'chain']"
Length,فرلانگ,0.004970969537898671,"['فرلانگ', 'fur']"
Length,میل,39370.07874015748,"['میل', 'ثو']"
Length,xu,9979044007584.074,['xu']
Length,سال نوری,1.0570008340246154e-16,"['سال نوری', 'light year']"
Length,ثانیه نوری,3.3356409519815204e-09,"['ثانیه نوری', 'light second']"
Length,واحد نجومی,6.684587122268445e-12,"['واحد نجومی', 'au']"
Length,پارسک,3.240779289444362e-17,"['پارسک', 'pc']"
Length,شعاع خورشیدی,1.4374011786689664e-09,"['شعاع خورشیدی', 'solar radius']"
Weight,تن,1.0,"['تن', 'Ton']"
Weight,کیلو‌گرم,1000.0,"['کیلو\u200cگرم', 'kg']"
Weight,پوند,2204.622621848776,"['پوند', 'lb']"
Weight,گرم,1000000.0,"['گرم', 'g']"
Weight,میلی‌گرم,1000000000.0,"['میلی\u200cگرم', 'mg']"
Weight,میکرو‌گرم,1000000000000.0,"['میکرو\u200cگرم', 'μg']"
Weight,اونس معمولی,35273.961949580415,"['اونس معمولی', 'oz']"
